Hand,OpponentRange,Weight,Combos,CurrentBoard,Player,SelectedActions,Equity,EV,EQR
QcJs,TdTc,0.240109,30.2324,,,,0.848625,65.8852,1.14173
QcJh,ThTc,0.253194,31.3373,,,,0.846955,65.7387,1.14144
QcJd,TsTc,0.214342,26.6125,,,,0.847255,65.7888,1.1419
JsTs,JcTc,0.364106,44.9984,,,,1,84.4732,1.24225
JhTh,JdTc,0.271783,33.0921,,,,0.888287,69.178,1.14526
JdTd,JhTc,0.198656,24.3799,,,,0.886769,69.0962,1.14587
JcTc,JsTc,0.304328,37.1333,,,,0.887696,69.1648,1.14581
5s5h,QcTc,0.006459,0.929804,,,,0.073977,16.5305,3.28608
5s5d,QdTc,0.104541,14.9837,,,,0.074305,16.6038,3.28609
5h5d,KcTc,0.131326,18.6916,,,,0.074822,16.7198,3.28617
5s5c,KdTc,0.076127,10.9154,,,,0.074285,16.5986,3.28596
5h5c,KhTc,0.100335,14.2858,,,,0.074795,16.7137,3.28617
5d5c,AcTc,0.166776,23.6396,,,,0.075131,16.7887,3.28617
4s4h,AhTc,0.427653,61.9979,,,,0.073458,16.418,3.28677
4s4d,ThTd,0.475969,69.0024,,,,0.073458,16.418,3.28677
4h4d,TsTd,0.506369,73.4095,,,,0.073458,16.418,3.28677
4s4c,JcTd,0.417218,60.4852,,,,0.073458,16.418,3.28677
4h4c,JdTd,0.440894,63.9175,,,,0.073458,16.418,3.28677
4d4c,JhTd,0.494239,71.6511,,,,0.073458,16.418,3.28677
,JsTd,,,,,
,QcTd,,,,,
,QdTd,,,,,
,KcTd,,,,,
,KdTd,,,,,
,KhTd,,,,,
,AcTd,,,,,
,AhTd,,,,,
,TsTh,,,,,
,JcTh,,,,,
,JdTh,,,,,
,JhTh,,,,,
,JsTh,,,,,
,QcTh,,,,,
,QdTh,,,,,
,KcTh,,,,,
,KdTh,,,,,
,KhTh,,,,,
,AcTh,,,,,
,AhTh,,,,,
,JcTs,,,,,
,JdTs,,,,,
,JhTs,,,,,
,JsTs,,,,,
,QcTs,,,,,
,QdTs,,,,,
,KcTs,,,,,
,KdTs,,,,,
,KhTs,,,,,
,AsTs,,,,,
,JdJc,,,,,
,JhJc,,,,,
,JsJc,,,,,
,QcJc,,,,,
,QdJc,,,,,
,KcJc,,,,,
,KdJc,,,,,
,KhJc,,,,,
,AcJc,,,,,
,AdJc,,,,,
,AhJc,,,,,
,AsJc,,,,,
,JhJd,,,,,
,JsJd,,,,,
,QcJd,,,,,
,QdJd,,,,,
,KcJd,,,,,
,KdJd,,,,,
,KhJd,,,,,
,AcJd,,,,,
,AdJd,,,,,
,AhJd,,,,,
,AsJd,,,,,
,JsJh,,,,,
,QcJh,,,,,
,QdJh,,,,,
,KcJh,,,,,
,KdJh,,,,,
,KhJh,,,,,
,AcJh,,,,,
,AdJh,,,,,
,AhJh,,,,,
,AsJh,,,,,
,QcJs,,,,,
,QdJs,,,,,
,KcJs,,,,,
,KdJs,,,,,
,KhJs,,,,,
,AcJs,,,,,
,AdJs,,,,,
,AhJs,,,,,
,AsJs,,,,,
,QdQc,,,,,
,KcQc,,,,,
,AcQc,,,,,
,AdQc,,,,,
,AhQc,,,,,
,AsQc,,,,,
,AcQd,,,,,
,AdQd,,,,,
,AhQd,,,,,
,AsQd,,,,,
,KdKc,,,,,
,KhKc,,,,,
,AcKc,,,,,
,AdKc,,,,,
,AhKc,,,,,
,AsKc,,,,,
,KhKd,,,,,
,AcKd,,,,,
,AdKd,,,,,
,AhKd,,,,,
,AsKd,,,,,
,AcKh,,,,,
,AdKh,,,,,
,AhKh,,,,,
,AsKh,,,,,
,AdAc,,,,,
,AhAc,,,,,
,AsAc,,,,,
,AhAd,,,,,
,AsAd,,,,,
,AsAh,,,,,
